index,model_id,fine_grained_class,coarse_grained_class,empty_struct_obj,nyuv2_40class,wnsynsetid,wnsynsetkey,active
170,277,chair,chair,2,chair,n03001627,chair.n.01,1
171,278,loudspeaker,music,2,otherprop,n03691459,loudspeaker.n.01,1
172,279,switch,switch,2,night_stand,n04372370,switch.n.01,1
173,280,switch,switch,2,picture,n04372370,switch.n.01,1
174,281,kitchen_cabinet,kitchen_cabinet,2,counter,n02933112,cabinet.n.01,1
175,282,kitchen_cabinet,kitchen_cabinet,2,counter,n02933112,cabinet.n.01,1
176,283,kitchen_cabinet,kitchen_cabinet,2,counter,n02933112,cabinet.n.01,1
177,284,kitchen_cabinet,kitchen_cabinet,2,counter,n02933112,cabinet.n.01,1
178,285,kitchen_cabinet,kitchen_cabinet,2,counter,n02933112,cabinet.n.01,1
179,286,hanging_kitchen_cabinet,hanging_kitchen_cabinet,2,counter,n02933112,cabinet.n.01,1
180,287,hanging_kitchen_cabinet,hanging_kitchen_cabinet,2,counter,n02933112,cabinet.n.01,1
181,288,kitchen_cabinet,kitchen_cabinet,2,counter,n02933112,cabinet.n.01,1
182,289,kitchen_cabinet,kitchen_cabinet,2,counter,n02933112,cabinet.n.01,1
183,290,kitchen_cabinet,kitchen_cabinet,2,counter,n02933112,cabinet.n.01,1
184,291,kitchen_cabinet,kitchen_cabinet,2,counter,n02933112,cabinet.n.01,1
185,292,shoes_cabinet,shoes_cabinet,2,cabinet,n02933112,cabinet.n.01,1
186,293,shelving,shelving,2,shelves,n04190052,shelf.n.01,1
187,294,desk,desk,2,desk,n03179701,desk.n.01,1
188,295,kitchen_cabinet,kitchen_cabinet,2,counter,n02933112,cabinet.n.01,1
189,311,stand,stand,2,night_stand,n04301000,stand.n.04,1
190,312,stand,stand,2,night_stand,n04301000,stand.n.04,1
191,313,clock,clock,2,otherprop,n03046257,clock.n.01,1
192,314,mirror,mirror,2,mirror,n03773035,mirror.n.01,1
193,315,stand,stand,2,night_stand,n04301000,stand.n.04,1
194,316,trash_can,trash_can,2,otherprop,n02946921,can.n.01,1
195,317,trash_can,trash_can,2,otherprop,n02946921,can.n.01,1
196,318,stand,stand,2,night_stand,n04301000,stand.n.04,1
197,319,books,books,2,books,n02870526,book.n.11,1
198,320,books,books,2,books,n02870526,book.n.11,1
199,321,sofa,sofa,2,sofa,n04256520,sofa.n.01,1
200,322,toy,toy,2,otherprop,n03964744,plaything.n.01,1
201,323,person,person,2,person,n05217688,person.n.02,0
202,324,person,person,2,person,n05217688,person.n.02,0
203,325,person,person,2,person,n05217688,person.n.02,0
204,326,door,door,2,door,n03221720,door.n.01,1
205,327,door,door,2,door,n03221720,door.n.01,1
206,328,partition,partition,1,otherstructure,n03894379,partition.n.01,1
207,329,partition,partition,1,otherstructure,n03894379,partition.n.01,1
208,330,partition,partition,1,otherstructure,n03894379,partition.n.01,1
209,331,door,door,2,door,n03221720,door.n.01,1
210,333,person,person,2,person,n05217688,person.n.02,0
211,334,fireplace,fireplace,2,otherstructure,n03346455,fireplace.n.01,1
212,335,office_chair,chair,2,chair,n04373704,swivel_chair.n.01,1
213,336,chair,chair,2,chair,n03001627,chair.n.01,1
214,337,gym_equipment,gym_equipment,2,otherprop,n04285146,sports_equipment.n.01,1
215,338,gym_equipment,gym_equipment,2,otherprop,n04285146,sports_equipment.n.01,1
216,339,gym_equipment,gym_equipment,2,otherprop,n04285146,sports_equipment.n.01,1
217,340,chessboard,toy,2,otherprop,n03014317,chessboard.n.01,1
218,341,fish_tank,toy,2,otherprop,n02732072,aquarium.n.01,1
219,342,fishbowl,toy,2,otherprop,n03350204,fishbowl.n.02,1
220,343,kettle,kitchenware,2,otherprop,n03612814,kettle.n.01,1
221,344,kettle,kitchenware,2,otherprop,n03612814,kettle.n.01,1
222,345,playstation,toy,2,otherprop,n03964744,plaything.n.01,1
223,346,person,person,2,person,n05217688,person.n.02,0
224,347,armchair,chair,2,chair,n02738535,armchair.n.01,1
225,348,armchair,chair,2,chair,n02738535,armchair.n.01,1
226,349,armchair,chair,2,chair,n02738535,armchair.n.01,1
227,350,sofa,sofa,2,sofa,n04256520,sofa.n.01,1
228,351,armchair,chair,2,chair,n02738535,armchair.n.01,1
229,352,armchair,chair,2,chair,n02738535,armchair.n.01,1
230,353,toy,toy,2,otherprop,n03964744,plaything.n.01,1
231,354,headstone,headstone,2,otherprop,n03455488,gravestone.n.01,1
232,355,coffin,coffin,2,sofa,n03064758,coffin.n.01,1
233,356,toy,toy,2,otherprop,n03964744,plaything.n.01,1
234,357,toy,toy,2,otherprop,n03964744,plaything.n.01,1
235,358,toy,toy,2,otherprop,n03964744,plaything.n.01,1
236,359,toy,toy,2,otherprop,n03964744,plaything.n.01,1
237,360,sofa,sofa,2,otherprop,n04256520,sofa.n.01,1
238,361,garage_door,garage_door,2,door,-,-,1
239,362,decoration,decoration,2,otherprop,n03169390,decoration.n.01,1
240,363,motorcycle,vehicle,2,otherprop,n03790512,motorcycle.n.01,1
241,364,car,vehicle,2,otherprop,n02958343,car.n.01,1
242,365,column,column,1,wall,n03074380,column.n.06,1
243,366,column,column,1,wall,n03074380,column.n.06,1
244,367,column,column,1,wall,n03074380,column.n.06,1
245,368,fence,fence,2,door,n03327234,fence.n.01,1
246,369,fence,fence,2,door,n03327234,fence.n.01,1
247,370,fence,fence,2,door,n03327234,fence.n.01,1
248,371,fence,fence,2,door,n03327234,fence.n.01,1
249,372,fence,fence,2,door,n03327234,fence.n.01,1
250,373,fence,fence,2,door,n03327234,fence.n.01,1
251,374,fence,fence,2,door,n03327234,fence.n.01,1
252,375,fence,fence,2,door,n03327234,fence.n.01,1
253,376,fence,fence,2,door,n03327234,fence.n.01,1
254,377,outdoor_lamp,outdoor_lamp,2,lamp,n03636649,lamp.n.02,1
255,378,outdoor_lamp,outdoor_lamp,2,lamp,n03636649,lamp.n.02,1
256,379,fence,fence,2,door,n03327234,fence.n.01,1
257,380,sofa,sofa,2,sofa,n04256520,sofa.n.01,1
258,381,outdoor_lamp,outdoor_lamp,2,lamp,n03636649,lamp.n.02,1
259,382,sofa,sofa,2,sofa,n04256520,sofa.n.01,1
260,383,wardrobe_cabinet,wardrobe_cabinet,2,cabinet,n02933112,cabinet.n.01,1
261,384,wardrobe_cabinet,wardrobe_cabinet,2,cabinet,n02933112,cabinet.n.01,1
262,385,wardrobe_cabinet,wardrobe_cabinet,2,cabinet,n02933112,cabinet.n.01,1
263,386,wardrobe_cabinet,wardrobe_cabinet,2,cabinet,n02933112,cabinet.n.01,1
264,387,wardrobe_cabinet,wardrobe_cabinet,2,cabinet,n02933112,cabinet.n.01,1
265,388,wardrobe_cabinet,wardrobe_cabinet,2,cabinet,n02933112,cabinet.n.01,1
266,389,wardrobe_cabinet,wardrobe_cabinet,2,cabinet,n02933112,cabinet.n.01,1
267,390,shelving,shelving,2,shelves,n04190052,shelf.n.01,1
268,391,wardrobe_cabinet,wardrobe_cabinet,2,cabinet,n02933112,cabinet.n.01,1
269,392,tv_stand,tv_stand,2,cabinet,n03290653,entertainment_center.n.01,1
270,393,shelving,shelving,2,shelves,n04190052,shelf.n.01,1
271,394,outdoor_lamp,outdoor_lamp,2,lamp,n03636649,lamp.n.02,1
272,395,trash_can,kitchenware,2,otherprop,n02946921,can.n.01,1
273,396,stand,stand,2,night_stand,n04301000,stand.n.04,1
274,397,dresser,dresser,2,dresser,n03015254,chest_of_drawers.n.01,1
275,398,dresser,dresser,2,dresser,n03015254,chest_of_drawers.n.01,1
276,399,wardrobe_cabinet,wardrobe_cabinet,2,cabinet,n02933112,cabinet.n.01,1
277,40,dining_table,table,2,table,n04379243,table.n.02,1
278,403,double_bed,bed,2,bed,n03225988,double_bed.n.01,1
279,404,stand,stand,2,night_stand,n04301000,stand.n.04,1
280,405,kitchen_cabinet,kitchen_cabinet,2,counter,n02933112,cabinet.n.01,1
281,406,hanging_kitchen_cabinet,hanging_kitchen_cabinet,2,counter,n02933112,cabinet.n.01,1
282,407,kitchen_cabinet,kitchen_cabinet,2,counter,n02933112,cabinet.n.01,1
283,408,kitchen_cabinet,kitchen_cabinet,2,counter,n02933112,cabinet.n.01,1
284,409,chair,chair,2,chair,n03001627,chair.n.01,1
285,41,coffee_table,table,2,table,n03063968,coffee_table.n.01,1
286,410,basketball_hoop,recreation,2,otherprop,n02802215,basket.n.03,1
287,411,outdoor_seating,outdoor_seating,2,chair,n04161981,seat.n.03,1
288,412,outdoor_seating,outdoor_seating,2,chair,n04161981,seat.n.03,1
289,413,grill,grill,2,otherprop,n03459591,grill.n.02,1
290,414,chair,chair,2,chair,n03001627,chair.n.01,1
291,415,armchair,chair,2,chair,n02738535,armchair.n.01,1
292,416,wardrobe_cabinet,wardrobe_cabinet,2,cabinet,n02933112,cabinet.n.01,1
293,417,desk,desk,2,desk,n03179701,desk.n.01,1
294,418,toilet,toilet,2,toilet,n04446276,toilet.n.01,1
295,419,table_lamp,indoor_lamp,2,lamp,n04380533,table_lamp.n.01,1
296,42,wardrobe_cabinet,wardrobe_cabinet,2,cabinet,n02933112,cabinet.n.01,1
297,420,sofa,sofa,2,sofa,n04256520,sofa.n.01,1
298,421,table_lamp,indoor_lamp,2,lamp,n04380533,table_lamp.n.01,1
299,422,table_lamp,indoor_lamp,2,lamp,n04380533,table_lamp.n.01,1
300,423,table_lamp,indoor_lamp,2,lamp,n04380533,table_lamp.n.01,1
301,424,desk,desk,2,desk,n03179701,desk.n.01,1
302,425,armchair,chair,2,chair,n02738535,armchair.n.01,1
303,426,armchair,chair,2,chair,n02738535,armchair.n.01,1
304,427,armchair,chair,2,chair,n02738535,armchair.n.01,1
305,428,desk,desk,2,desk,n03179701,desk.n.01,1
306,429,chair,chair,2,chair,n03001627,chair.n.01,1
307,43,dryer,household_appliance,2,otherprop,n03251766,dryer.n.01,1
308,430,desk,desk,2,desk,n03179701,desk.n.01,1
309,431,dresser,dresser,2,dresser,n03015254,chest_of_drawers.n.01,1
310,432,gym_equipment,gym_equipment,2,otherprop,n04285146,sports_equipment.n.01,1
311,433,outdoor_seating,outdoor_seating,2,chair,n04161981,seat.n.03,1
312,434,gym_equipment,gym_equipment,2,otherprop,n04285146,sports_equipment.n.01,1
313,435,gym_equipment,gym_equipment,2,otherprop,n04285146,sports_equipment.n.01,1
314,436,gym_equipment,gym_equipment,2,otherprop,n04285146,sports_equipment.n.01,1
315,437,gym_equipment,gym_equipment,2,otherprop,n04285146,sports_equipment.n.01,1
316,438,gym_equipment,gym_equipment,2,otherprop,n04285146,sports_equipment.n.01,1
317,439,gym_equipment,gym_equipment,2,otherprop,n04285146,sports_equipment.n.01,1
318,44,household_appliance,household_appliance,2,otherprop,n03528263,home_appliance.n.01,1
319,440,shelving,shelving,2,shelves,n04190052,shelf.n.01,1
320,441,chair,chair,2,chair,n03001627,chair.n.01,1
321,442,dining_table,table,2,table,n04379243,table.n.02,1
322,443,toilet,toilet,2,toilet,n04446276,toilet.n.01,1
323,444,toilet,toilet,2,toilet,n04446276,toilet.n.01,1
324,445,shoes_cabinet,shoes_cabinet,2,cabinet,n02933112,cabinet.n.01,1
325,446,chair,chair,2,chair,n03001627,chair.n.01,1
326,447,sink,sink,2,sink,n04223580,sink.n.01,1
327,448,shelving,shelving,2,shelves,n04190052,shelf.n.01,1
328,449,armchair,chair,2,chair,n02738535,armchair.n.01,1
329,45,hanging_kitchen_cabinet,hanging_kitchen_cabinet,2,counter,n02933112,cabinet.n.01,1
330,450,chair,chair,2,chair,n03001627,chair.n.01,1
331,451,tv_stand,tv_stand,2,cabinet,n03290653,entertainment_center.n.01,1
332,452,dining_table,table,2,table,n04379243,table.n.02,1
333,453,toilet,toilet,2,toilet,n04446276,toilet.n.01,1
334,454,tv_stand,tv_stand,2,cabinet,n03290653,entertainment_center.n.01,1
335,455,desk,desk,2,desk,n03179701,desk.n.01,1
336,456,shelving,shelving,2,shelves,n04190052,shelf.n.01,1
337,457,shelving,shelving,2,shelves,n04190052,shelf.n.01,1
338,458,shelving,shelving,2,shelves,n04190052,shelf.n.01,1
339,459,shelving,shelving,2,shelves,n04190052,shelf.n.01,1
340,46,hanging_kitchen_cabinet,hanging_kitchen_cabinet,2,counter,n02933112,cabinet.n.01,1
341,460,toy,toy,2,otherprop,n03964744,plaything.n.01,1
342,461,toy,toy,2,otherprop,n03964744,plaything.n.01,1
343,462,toy,toy,2,otherprop,n03964744,plaything.n.01,1
344,463,plant,plant,2,otherprop,n00017222,plant.n.02,0
345,464,dresser,dresser,2,dresser,n03015254,chest_of_drawers.n.01,1
346,465,bathtub,bathtub,2,bathtub,n02808440,bathtub.n.01,1
347,466,bench_chair,bench_chair,2,chair,n03001627,chair.n.01,1
348,467,chair,chair,2,chair,n03001627,chair.n.01,1
349,468,coffee_table,table,2,table,n03063968,coffee_table.n.01,1
350,469,dresser,dresser,2,dresser,n03015254,chest_of_drawers.n.01,1
351,470,coffee_table,table,2,table,n03063968,coffee_table.n.01,1
352,471,chair,chair,2,chair,n03001627,chair.n.01,1
353,472,coffee_table,table,2,table,n03063968,coffee_table.n.01,1
354,473,chair,chair,2,chair,n03001627,chair.n.01,1
355,474,table,table,2,chair,n04379243,table.n.02,1
356,475,bench_chair,bench_chair,2,chair,n03001627,chair.n.01,1
357,476,bench_chair,bench_chair,2,chair,n03001627,chair.n.01,1
358,477,desk,desk,2,desk,n03179701,desk.n.01,1
359,478,ottoman,ottoman,2,otherprop,n03380724,footstool.n.01,1
360,479,shoes_cabinet,shoes_cabinet,2,cabinet,n02933112,cabinet.n.01,1
361,480,dresser,dresser,2,dresser,n03015254,chest_of_drawers.n.01,1
362,481,wardrobe_cabinet,wardrobe_cabinet,2,cabinet,n02933112,cabinet.n.01,1
363,482,bookshelf,shelving,2,cabinet,n02871439,bookshelf.n.01,1
364,483,stand,stand,2,night_stand,n04301000,stand.n.04,1
365,484,workplace,workplace,2,desk,-,-,1
366,485,desk,desk,2,desk,n03179701,desk.n.01,1
367,486,desk,desk,2,desk,n03179701,desk.n.01,1
368,487,desk,desk,2,desk,n03179701,desk.n.01,1
369,488,stand,stand,2,night_stand,n04301000,stand.n.04,1
370,489,stand,stand,2,night_stand,n04301000,stand.n.04,1
371,490,stand,stand,2,night_stand,n04301000,stand.n.04,1
372,491,armchair,chair,2,chair,n02738535,armchair.n.01,1
373,492,shelving,shelving,2,shelves,n04190052,shelf.n.01,1
374,493,shelving,shelving,2,shelves,n04190052,shelf.n.01,1
375,494,desk,desk,2,desk,n03179701,desk.n.01,1
376,495,tv_stand,tv_stand,2,cabinet,n03290653,entertainment_center.n.01,1
377,496,chair,chair,2,chair,n03001627,chair.n.01,1
378,497,partition,partition,1,otherstructure,n03894379,partition.n.01,1
379,498,partition,partition,1,otherstructure,n03894379,partition.n.01,1
380,499,towel_rack,bathroom_stuff,2,otherprop,n04459773,towel_rack.n.01,1
381,500,chair,chair,2,chair,n03001627,chair.n.01,1
382,501,chair,chair,2,chair,n03001627,chair.n.01,1
383,502,partition,partition,1,otherstructure,n03894379,partition.n.01,1
384,503,wardrobe_cabinet,wardrobe_cabinet,2,cabinet,n02933112,cabinet.n.01,1
385,504,dining_table,table,2,table,n04379243,table.n.02,1
386,505,shelving,shelving,2,shelves,n04190052,shelf.n.01,1
387,506,desk,desk,2,desk,n03179701,desk.n.01,1
388,507,armchair,chair,2,chair,n02738535,armchair.n.01,1
389,508,shelving,shelving,2,shelves,n04190052,shelf.n.01,1
390,509,dresser,dresser,2,dresser,n03015254,chest_of_drawers.n.01,1
391,510,heater,heater,2,otherprop,n03508101,heater.n.01,1
392,511,armchair,chair,2,chair,n02738535,armchair.n.01,1
393,512,wardrobe_cabinet,wardrobe_cabinet,2,cabinet,n02933112,cabinet.n.01,1
